Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
14, Riau ,Beras Medium,2025,Maret,"Rp14,295"
15, Jambi ,Beras Medium,2025,Maret,"Rp13,037"
16, Sumatera Selatan ,Beras Medium,2025,Maret,"Rp12,233"
17, Bengkulu ,Beras Medium,2025,Maret,"Rp13,366"
18, Lampung ,Beras Medium,2025,Maret,"Rp13,110"
19, Kepulauan Bangka Belitung ,Beras Medium,2025,Maret,"Rp13,619"
21, Kepulauan Riau ,Beras Medium,2025,Maret,"Rp13,641"
31, DKI Jakarta ,Beras Medium,2025,Maret,"Rp13,206"
32, Jawa Barat ,Beras Medium,2025,Maret,"Rp13,069"
33, Jawa Tengah ,Beras Medium,2025,Maret,"Rp13,166"
34, D.I Yogyakarta ,Beras Medium,2025,Maret,"Rp13,081"
35, Jawa Timur ,Beras Medium,2025,Maret,"Rp12,812"
36, Banten ,Beras Medium,2025,Maret,"Rp12,844"
51, Bali ,Beras Medium,2025,Maret,"Rp13,972"
52, Nusa Tenggara Barat ,Beras Medium,2025,Maret,"Rp13,396"
53, Nusa Tenggara Timur ,Beras Medium,2025,Maret,"Rp13,832"
61, Kalimantan Barat ,Beras Medium,2025,Maret,"Rp14,569"
62, Kalimantan Tengah ,Beras Medium,2025,Maret,"Rp14,537"
63, Kalimantan Selatan ,Beras Medium,2025,Maret,"Rp13,103"
64, Kalimantan Timur ,Beras Medium,2025,Maret,"Rp15,700"
65, Kalimantan Utara ,Beras Medium,2025,Maret,"Rp14,933"
71, Sulawesi Utara ,Beras Medium,2025,Maret,"Rp13,730"
72, Sulawesi Tengah ,Beras Medium,2025,Maret,"Rp13,685"
73, Sulawesi Selatan ,Beras Medium,2025,Maret,"Rp12,962"
74, Sulawesi Tenggara ,Beras Medium,2025,Maret,"Rp13,946"
75, Gorontalo ,Beras Medium,2025,Maret,"Rp13,411"
76, Sulawesi Barat ,Beras Medium,2025,Maret,"Rp13,258"
81, Maluku ,Beras Medium,2025,Maret,"Rp14,923"
82, Maluku Utara ,Beras Medium,2025,Maret,"Rp15,902"
91, Papua ,Beras Medium,2025,Maret,"Rp15,880"
92, Papua Barat ,Beras Medium,2025,Maret,"Rp17,282"
93, Papua Selatan ,Beras Medium,2025,Maret,-
94, Papua Tengah ,Beras Medium,2025,Maret,"Rp15,522"
95, Papua Pegunungan ,Beras Medium,2025,Maret,"Rp20,000"
96, Papua Barat Daya ,Beras Medium,2025,Maret,"Rp15,904"
11, Aceh ,Kedelai Biji Kering,2025,Maret,"Rp10,842"
12, Sumatera Utara ,Kedelai Biji Kering,2025,Maret,"Rp10,555"
13, Sumatera Barat ,Kedelai Biji Kering,2025,Maret,"Rp10,595"
14, Riau ,Kedelai Biji Kering,2025,Maret,"Rp11,391"
15, Jambi ,Kedelai Biji Kering,2025,Maret,"Rp11,671"
16, Sumatera Selatan ,Kedelai Biji Kering,2025,Maret,"Rp9,920"
17, Bengkulu ,Kedelai Biji Kering,2025,Maret,"Rp10,224"
18, Lampung ,Kedelai Biji Kering,2025,Maret,"Rp10,465"
19, Kepulauan Bangka Belitung ,Kedelai Biji Kering,2025,Maret,"Rp10,814"
21, Kepulauan Riau ,Kedelai Biji Kering,2025,Maret,"Rp11,455"
31, DKI Jakarta ,Kedelai Biji Kering,2025,Maret,"Rp9,600"
32, Jawa Barat ,Kedelai Biji Kering,2025,Maret,"Rp9,453"
33, Jawa Tengah ,Kedelai Biji Kering,2025,Maret,"Rp9,555"
34, D.I Yogyakarta ,Kedelai Biji Kering,2025,Maret,"Rp9,506"
35, Jawa Timur ,Kedelai Biji Kering,2025,Maret,"Rp9,672"
36, Banten ,Kedelai Biji Kering,2025,Maret,"Rp10,968"
51, Bali ,Kedelai Biji Kering,2025,Maret,"Rp10,521"
52, Nusa Tenggara Barat ,Kedelai Biji Kering,2025,Maret,"Rp10,496"
